evaluation_context,canonical_or_extension,model_name,window_label,window_seconds,step_seconds,status,threshold,threshold_method,feature_count,seq_len,training_time_seconds,inference_time_seconds,inference_time_ms_per_prediction,parameter_count,model_size_bytes,mean_detection_latency_seconds,median_detection_latency_seconds,evaluated_sequences,attack_sequences,prediction_path,notes,precision,recall,f1,average_precision,roc_auc,false_positive_rate,true_positive,false_positive,true_negative,false_negative,train_sequences,val_sequences,test_sequences,heldout_sequences
canonical_benchmark_test_split_extension,extension,lstm_autoencoder,5s,5,1,completed,0.8434221417544274,validation_f1_sweep,64,12,2.0653975999994145,0.0884526999998343,0.025272199999952658,45440,181760,32438.0,32438.0,3500,360,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_5s_canonical_test.parquet,LSTM autoencoder extension trained on benign canonical residual windows. It is distinct from the existing MLP autoencoder and does not alter canonical model selection.,0.015270164447924823,0.10833333333333334,0.026767330130404943,0.05736834579100535,0.07047505307855628,0.8009554140127388,39,2515,625,321,5000.0,2500.0,3500.0,
canonical_benchmark_test_split_extension,extension,lstm_autoencoder,10s,10,2,completed,0.6819723702942194,validation_f1_sweep,64,12,1.900055500000235,0.0981208000011975,0.02803451428605643,45440,181760,32428.0,32428.0,3500,358,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_10s_canonical_test.parquet,LSTM autoencoder extension trained on benign canonical residual windows. It is distinct from the existing MLP autoencoder and does not alter canonical model selection.,0.016660999659979598,0.13687150837988826,0.029705971506517128,0.05988022782993113,0.08298276370955411,0.9204328453214513,49,2892,250,309,5000.0,2500.0,3500.0,
heldout_synthetic_zero_day_like_extension,extension,lstm_autoencoder,10s,10,2,completed,0.6819723702942194,validation_f1_sweep,64,12,1.900055500000235,0.09138480000001437,0.02610994285714696,45440,181760,1086.0,1086.0,3500,123,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_10s_chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c.parquet,Heldout synthetic replay residuals from chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c; extension evaluation only.,0.08152173913043478,0.24390243902439024,0.12219959266802444,0.05944393848433953,0.5659976262184889,0.10008883624518804,30,338,3039,93,,,,3500.0
heldout_synthetic_zero_day_like_extension,extension,lstm_autoencoder,10s,10,2,completed,0.6819723702942194,validation_f1_sweep,64,12,1.900055500000235,0.10391060000074503,0.029688742857355725,45440,181760,72914.0,72914.0,3500,126,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_10s_claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2.parquet,Heldout synthetic replay residuals from claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2; extension evaluation only.,0.2857142857142857,0.2222222222222222,0.25,0.08748161670294205,0.576408294991579,0.02074688796680498,28,70,3304,98,,,,3500.0
heldout_synthetic_zero_day_like_extension,extension,lstm_autoencoder,10s,10,2,completed,0.6819723702942194,validation_f1_sweep,64,12,1.900055500000235,0.09870729999965988,0.028202085714188536,45440,181760,42010.0,42010.0,3500,143,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_10s_gemini__existing_heldout_phase2_bundle__phase2_llm_synthetic_benchmark_002.parquet,Heldout synthetic replay residuals from gemini__existing_heldout_phase2_bundle__phase2_llm_synthetic_benchmark_002; extension evaluation only.,0.0014245014245014246,0.006993006993006993,0.002366863905325444,0.0333304254018821,0.4408823229198564,0.2088173964849568,1,701,2656,142,,,,3500.0
heldout_synthetic_zero_day_like_extension,extension,lstm_autoencoder,10s,10,2,completed,0.6819723702942194,validation_f1_sweep,64,12,1.900055500000235,0.10527840000031574,0.030079542857233067,45440,181760,52796.0,52796.0,3500,140,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_10s_grok__existing_heldout_phase2_bundle__phase2_llm_benchmark_grok_synthetic_03.parquet,Heldout synthetic replay residuals from grok__existing_heldout_phase2_bundle__phase2_llm_benchmark_grok_synthetic_03; extension evaluation only.,0.029069767441860465,0.25,0.052083333333333336,0.09333968539945722,0.4687096088435374,0.34791666666666665,35,1169,2191,105,,,,3500.0
heldout_synthetic_zero_day_like_extension,extension,lstm_autoencoder,10s,10,2,completed,0.6819723702942194,validation_f1_sweep,64,12,1.900055500000235,0.10896429999957036,0.031132657142734384,45440,181760,72298.0,72298.0,3500,122,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_10s_human_authored__human_authored_heldout__human_authored_phase3_bundle_v1.parquet,Heldout synthetic replay residuals from human_authored__human_authored_heldout__human_authored_phase3_bundle_v1; extension evaluation only.,0.0,0.0,0.0,0.0333834307485185,0.49541391258771794,0.004440497335701598,0,15,3363,122,,,,3500.0
canonical_benchmark_test_split_extension,extension,lstm_autoencoder,60s,60,12,completed,1.2051798570688874,validation_f1_sweep,64,12,1.5338844999987487,0.04680180000104883,0.031222014677150654,45440,181760,30516.0,30516.0,1499,150,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_60s_canonical_test.parquet,LSTM autoencoder extension trained on benign canonical residual windows. It is distinct from the existing MLP autoencoder and does not alter canonical model selection.,0.00851063829787234,0.05333333333333334,0.014678899082568808,0.05432579519642723,0.07226093402520387,0.6908821349147517,8,932,417,142,3969.0,1418.0,1499.0,
heldout_synthetic_zero_day_like_extension,extension,lstm_autoencoder,60s,60,12,completed,1.2051798570688874,validation_f1_sweep,64,12,1.5338844999987487,0.08952919999865117,0.025579771428186047,45440,181760,,,3500,131,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_60s_chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c.parquet,Heldout synthetic replay residuals from chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c; extension evaluation only.,0.0,0.0,0.0,0.06561195038709183,0.6247034592456139,0.0,0,0,3369,131,,,,3500.0
heldout_synthetic_zero_day_like_extension,extension,lstm_autoencoder,60s,60,12,completed,1.2051798570688874,validation_f1_sweep,64,12,1.5338844999987487,0.10219239999969432,0.029197828571341233,45440,181760,,,3500,168,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_60s_chatgpt__repaired_heldout_bundle__phase2_zero_day_like_bundle_2026_04_15_c_repaired.parquet,Heldout synthetic replay residuals from chatgpt__repaired_heldout_bundle__phase2_zero_day_like_bundle_2026_04_15_c_repaired; extension evaluation only.,0.0,0.0,0.0,0.06780222602807,0.6310506345395301,0.0,0,0,3332,168,,,,3500.0
