model_name,window_label,generator_source,dataset_id,scenario_count,accepted_scenario_count,precision,recall,f1,average_precision,roc_auc,mean_latency_seconds,median_latency_seconds,true_nonfinite_feature_count,true_nonfinite_row_count,extreme_feature_count,extreme_row_count,fallback_nonfinite_replacement_used,fallback_score_stability_clip_used,fallback_score_stability_clip_feature_count,detected_scenarios,note
threshold_baseline,10s,canonical_bundle,ieee123_der_research_attacks_13scenario,13,13,0.48398876404494384,0.5559858018715714,0.5174951193872954,0.5628257792042799,0.7601881009938845,9.0,1.0,0,0,25,922,False,False,0,7,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 25. Fallback score-stability clip used: False.
threshold_baseline,10s,chatgpt,phase2_zero_day_like_bundle_2026_04_15_c,10,8,0.964824120603015,0.3855421686746988,0.5509325681492109,0.5812161769851575,0.7408498770507078,3.0,3.0,0,0,5,367,False,False,0,2,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 5. Fallback score-stability clip used: False.
threshold_baseline,10s,claude,claude_phase2_llm_benchmark_v2,10,7,0.08205470313542361,0.2379110251450677,0.12202380952380952,0.08371901040700531,0.6214076627898342,44.0,44.0,0,0,16,2061,False,False,0,2,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 16. Fallback score-stability clip used: False.
threshold_baseline,10s,gemini,phase2_llm_synthetic_benchmark_002,10,5,0.03183050507079024,0.18062678062678061,0.05412327129929998,0.2171201110964035,0.6438860288860289,492.0,203.0,0,0,16,316,False,False,0,4,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 16. Fallback score-stability clip used: False.
threshold_baseline,10s,grok,phase2_llm_benchmark_grok_synthetic_03,10,9,0.040849972522440006,0.2590011614401858,0.07056962025316456,0.2268690189828141,0.5527679833566768,22.333333333333332,3.0,0,0,11,315,False,False,0,3,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 11. Fallback score-stability clip used: False.
threshold_baseline,10s,human_authored,human_authored_phase3_bundle_v1,6,6,0.9532908704883227,0.301747311827957,0.45839714139867277,0.44775282358207397,0.6894696417738597,11.0,11.0,0,0,8,287,False,False,0,1,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 8. Fallback score-stability clip used: False.
transformer,60s,canonical_bundle,ieee123_der_research_attacks_13scenario,13,13,0.8278388278388278,0.8233151183970856,0.8255707762557077,0.8409147845323883,0.9074560446272801,4.6923076923076925,1.0,0,0,18,160,False,False,0,13,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 18. Fallback score-stability clip used: False.
transformer,60s,chatgpt,phase2_zero_day_like_bundle_2026_04_15_c,10,8,0.8983739837398373,0.8215613382899628,0.858252427184466,0.8242141422145212,0.9470436285538415,1.0,1.0,0,0,1,98,False,False,0,8,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 1. Fallback score-stability clip used: False.
transformer,60s,claude,claude_phase2_llm_benchmark_v2,10,7,0.7222222222222222,0.32971014492753625,0.4527363184079602,0.4076201621310106,0.7849773000008392,1.0,1.0,0,0,6,346,False,True,6,7,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 6. Fallback score-stability clip used: True.
transformer,60s,gemini,phase2_llm_synthetic_benchmark_002,10,5,0.8586387434554974,0.5377049180327869,0.6612903225806451,0.5857254111233974,0.794593667112309,13.0,1.0,0,0,9,55,False,False,0,5,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 9. Fallback score-stability clip used: False.
transformer,60s,grok,phase2_llm_benchmark_grok_synthetic_03,10,9,0.8214285714285714,0.5935483870967742,0.6891385767790262,0.624005589543174,0.7518742902193398,2.5,1.0,0,0,7,55,False,False,0,8,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 7. Fallback score-stability clip used: False.
transformer,60s,human_authored,human_authored_phase3_bundle_v1,6,6,0.8273809523809523,0.5285171102661597,0.6450116009280742,0.6109102203745087,0.836418394888978,1.0,1.0,0,0,2,65,False,False,0,6,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 2. Fallback score-stability clip used: False.
lstm,300s,canonical_bundle,ieee123_der_research_attacks_13scenario,13,13,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9427431155294514,0.971603737824876,61.0,61.0,0,0,3,54,False,False,0,13,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 3. Fallback score-stability clip used: False.
lstm,300s,chatgpt,phase2_zero_day_like_bundle_2026_04_15_c,10,8,0.9436619718309859,0.9178082191780822,0.9305555555555556,0.9542496112283834,0.9789631780015523,61.0,61.0,0,0,3,29,False,False,0,8,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 3. Fallback score-stability clip used: False.
lstm,300s,claude,claude_phase2_llm_benchmark_v2,10,7,0.9777777777777777,0.6111111111111112,0.7521367521367521,0.7446565325700764,0.8853553921568627,61.0,61.0,0,0,1,57,False,False,0,7,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 1. Fallback score-stability clip used: False.
lstm,300s,gemini,phase2_llm_synthetic_benchmark_002,10,5,0.9787234042553191,0.6301369863013698,0.7666666666666667,0.7101086582503601,0.8530244841593839,61.0,61.0,0,0,3,19,False,False,0,5,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 3. Fallback score-stability clip used: False.
lstm,300s,grok,phase2_llm_benchmark_grok_synthetic_03,10,9,0.92,0.8214285714285714,0.8679245283018868,0.8994335383832252,0.9665995478310018,74.33333333333333,61.0,0,0,3,35,False,False,0,9,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 3. Fallback score-stability clip used: False.
lstm,300s,human_authored,human_authored_phase3_bundle_v1,6,6,0.9111111111111111,0.6119402985074627,0.7321428571428571,0.816373093263181,0.9075610956207971,71.0,61.0,0,0,3,32,False,False,0,6,Replay attempted raw finite residuals without clipping first. Missing feature columns backfilled: 0. True non-finite features: 0. Extreme finite features (>100 standard deviations from the saved benchmark standardizer): 3. Fallback score-stability clip used: False.
