window_label,window_seconds,step_seconds,model_name,status,mean_detection_latency_seconds,median_detection_latency_seconds,inference_time_seconds,inference_time_ms_per_prediction
5s,5,1,threshold_baseline,completed,432.4,424.0,0.0074359999998705,0.0004152102294863
5s,5,1,isolation_forest,completed,343.5,277.0,0.1436263999930815,0.0080197889325524
5s,5,1,autoencoder,completed,357.75,301.0,0.1043093000043882,0.0058244067231217
5s,5,1,gru,completed,336.53846153846155,259.0,0.3595081000094069,0.020121346617194
5s,5,1,lstm,completed,336.53846153846155,259.0,0.2949840000073891,0.0165099904856657
5s,5,1,transformer,completed,336.53846153846155,259.0,0.3637106999995012,0.0203565623775396
5s,5,1,llm_baseline,completed,336.53846153846155,259.0,0.2900786999998672,0.0162354452342232
10s,10,2,threshold_baseline,completed,416.1428571428572,427.0,0.0138138000002072,0.0015405152225055
10s,10,2,isolation_forest,completed,347.3333333333333,281.0,0.0848342999997839,0.0094607226496915
10s,10,2,autoencoder,completed,358.0,313.0,0.0633144999992509,0.0070608341696499
10s,10,2,gru,completed,343.46153846153845,265.0,0.1804148000010172,0.0202145434174809
10s,10,2,lstm,completed,351.46153846153845,273.0,0.1200573999994958,0.013536745969049
10s,10,2,transformer,completed,343.46153846153845,265.0,0.2661206000011589,0.0298174341737993
10s,10,2,llm_baseline,completed,351.46153846153845,273.0,0.1430642000013904,0.0161308151991645
60s,60,12,threshold_baseline,completed,509.0,469.0,0.0015174000000115,0.0010049006622593
60s,60,12,isolation_forest,completed,384.0,319.0,0.0360600999993039,0.0238808609266913
60s,60,12,autoencoder,completed,402.0,361.0,0.0100087999999232,0.00662834437081
60s,60,12,gru,completed,641.0,601.0,0.041152099998726,0.0303034609710795
60s,60,12,lstm,completed,641.0,601.0,0.0242530000032275,0.0178593519905946
60s,60,12,transformer,completed,641.0,601.0,0.0297013999952469,0.0218714285679284
60s,60,12,llm_baseline,completed,737.0,805.0,0.0289781000028597,0.0213388070713252
300s,300,60,threshold_baseline,completed,614.3333333333334,661.0,0.0013221999979577,0.0041578616287981
300s,300,60,isolation_forest,completed,556.0,481.0,0.0269902000000001,0.0848748427672961
300s,300,60,autoencoder,completed,571.0,481.0,0.0022142000088933,0.0069628931097276
300s,300,60,gru,completed,871.0,841.0,0.0064662000077078,0.023428260897492
300s,300,60,lstm,completed,871.0,841.0,0.0081168000033358,0.0294086956642601
300s,300,60,transformer,completed,871.0,841.0,0.0140293000004021,0.0508307971029063
300s,300,60,llm_baseline,completed,761.0,661.0,0.0074509999976726,0.0269963768031616
