generator_source,scenario_id,attack_family,detected,first_detection_time,latency_seconds,score_summary,top_triggering_signals,start_time_utc,end_time_utc,affected_assets,accepted_in_bundle
canonical_bundle,scn_false_data_injection_pv60_voltage,false_data_injection,1,2025-06-01T01:00:01+00:00,1.0,"{""attack_window_count"": 30, ""max_raw_score"": 0.9940021634101868, ""max_score"": 0.04765160179267044, ""mean_score"": 0.025971997148240607, ""predicted_attack_windows"": 16}",bess_bess48_available_charge_kw__last|bess_bess48_available_charge_kw__max|bess_bess48_available_discharge_kw__max|bess_bess48_available_discharge_kw__mean|bess_bess48_available_discharge_kw__last,2025-06-01T01:00:00+00:00,2025-06-01T01:05:00+00:00,pv60,1
canonical_bundle,scn_replay_bus83_voltage,replay,1,2025-06-01T01:35:01+00:00,1.0,"{""attack_window_count"": 25, ""max_raw_score"": 0.9939911961555481, ""max_score"": 0.047649768452997135, ""mean_score"": 0.03082864293770473, ""predicted_attack_windows"": 16}",bess_bess48_available_charge_kw__max|bess_bess48_available_charge_kw__last|bess_bess48_available_discharge_kw__last|bess_bess48_available_charge_kw__min|bess_bess48_available_discharge_kw__min,2025-06-01T01:35:00+00:00,2025-06-01T01:39:00+00:00,bus83,1
canonical_bundle,scn_unauthorized_bess48_discharge,unauthorized_command,1,2025-06-01T02:00:01+00:00,1.0,"{""attack_window_count"": 55, ""max_raw_score"": 0.9942209720611572, ""max_score"": 0.04768819291951287, ""mean_score"": 0.047563369661882085, ""predicted_attack_windows"": 55}",bess_bess48_available_charge_kw__last|bess_bess48_available_discharge_kw__max|bess_bess48_available_charge_kw__max|bess_bess48_available_charge_kw__min|bess_bess48_available_discharge_kw__min,2025-06-01T02:00:00+00:00,2025-06-01T02:10:00+00:00,bess48,1
canonical_bundle,scn_command_suppression_bess108_charge,command_suppression,1,2025-06-01T02:30:13+00:00,13.0,"{""attack_window_count"": 55, ""max_raw_score"": 0.9941418766975403, ""max_score"": 0.04767496281073356, ""mean_score"": 0.046883447406363334, ""predicted_attack_windows"": 54}",bess_bess48_available_charge_kw__min|bess_bess48_available_charge_kw__mean|bess_bess48_available_charge_kw__max|bess_bess48_available_discharge_kw__last|bess_bess48_available_discharge_kw__max,2025-06-01T02:30:00+00:00,2025-06-01T02:40:00+00:00,bess108,1
canonical_bundle,scn_degradation_feeder_power_dropout,degradation,1,2025-06-01T04:40:01+00:00,1.0,"{""attack_window_count"": 25, ""max_raw_score"": 0.993729829788208, ""max_score"": 0.04760609700014997, ""mean_score"": 0.030486695057545483, ""predicted_attack_windows"": 16}",bess_bess48_available_charge_kw__last|bess_bess48_available_charge_kw__max|bess_bess48_available_charge_kw__min|bess_bess48_available_charge_kw__mean|bess_bess48_available_discharge_kw__min,2025-06-01T04:40:00+00:00,2025-06-01T04:44:00+00:00,feeder,1
canonical_bundle,scn_false_data_injection_bess48_soc_bias,false_data_injection,1,2025-06-01T05:20:01+00:00,1.0,"{""attack_window_count"": 35, ""max_raw_score"": 0.9935413599014282, ""max_score"": 0.04757462934795871, ""mean_score"": 0.021943875881460285, ""predicted_attack_windows"": 15}",bess_bess48_available_charge_kw__max|bess_bess48_available_charge_kw__min|bess_bess48_available_charge_kw__last|bess_bess48_available_charge_kw__mean|bess_bess48_available_discharge_kw__last,2025-06-01T05:20:00+00:00,2025-06-01T05:26:00+00:00,bess48,1
canonical_bundle,scn_command_delay_bess48_recharge,command_delay,1,2025-06-01T10:00:01+00:00,1.0,"{""attack_window_count"": 35, ""max_raw_score"": 0.9940991401672363, ""max_score"": 0.047667815815597744, ""mean_score"": 0.04743060571056628, ""predicted_attack_windows"": 35}",bess_bess48_available_charge_kw__last|bess_bess48_available_charge_kw__max|bess_bess48_available_charge_kw__mean|bess_bess48_available_charge_kw__min|bess_bess48_available_discharge_kw__max,2025-06-01T10:00:00+00:00,2025-06-01T10:06:00+00:00,bess48,1
canonical_bundle,scn_unauthorized_capacitor_c83_drop,unauthorized_command,1,2025-06-01T10:30:13+00:00,13.0,"{""attack_window_count"": 30, ""max_raw_score"": 0.9936009049415588, ""max_score"": 0.04758456907930243, ""mean_score"": 0.02447303130755559, ""predicted_attack_windows"": 15}",bess_bess48_available_charge_kw__last|bess_bess48_available_charge_kw__max|bess_bess48_available_charge_kw__mean|bess_bess48_available_charge_kw__min|bess_bess48_available_discharge_kw__last,2025-06-01T10:30:00+00:00,2025-06-01T10:35:00+00:00,c83,1
canonical_bundle,scn_command_delay_creg3a,command_delay,1,2025-06-01T12:00:01+00:00,1.0,"{""attack_window_count"": 30, ""max_raw_score"": 0.9940037131309509, ""max_score"": 0.04765186085694057, ""mean_score"": 0.025848940297259416, ""predicted_attack_windows"": 16}",bess_bess48_available_charge_kw__max|bess_bess48_available_charge_kw__mean|bess_bess48_available_charge_kw__min|bess_bess48_available_charge_kw__last|bess_bess48_available_discharge_kw__last,2025-06-01T12:00:00+00:00,2025-06-01T12:05:00+00:00,creg3a,1
canonical_bundle,scn_pv60_curtailment_inconsistency,telemetry_corruption,0,,,"{""attack_window_count"": 80, ""max_raw_score"": 0.5751968622207642, ""max_score"": 0.010584212044856404, ""mean_score"": 0.0025011943378492633, ""predicted_attack_windows"": 0}",bess_bess48_available_discharge_kw__max|bess_bess48_available_discharge_kw__last|bess_bess48_available_discharge_kw__mean|bess_bess48_available_discharge_kw__min|bess_bess48_available_charge_kw__last,2025-06-01T12:15:00+00:00,2025-06-01T12:30:00+00:00,pv60,1
