generator_source,feature_name,nonfinite_count,issue_type,suspected_root_cause,fixed_at_source,replay_sanitization_still_needed
canonical_bundle,delta__pv_pv83_curtailment_frac__max,0,finite_clip_misclassified_as_nonfinite,"The original replay audit counted finite extreme-value clipping under a 100-standard-deviation guardrail, not NaN/Inf values in the selected residual features.",False,False
canonical_bundle,delta__derived_pv_pv83_availability_residual_kw__max,0,finite_clip_misclassified_as_nonfinite,"The original replay audit counted finite extreme-value clipping under a 100-standard-deviation guardrail, not NaN/Inf values in the selected residual features.",False,False
canonical_bundle,delta__derived_pv_pv83_availability_residual_kw__last,0,finite_clip_misclassified_as_nonfinite,"The original replay audit counted finite extreme-value clipping under a 100-standard-deviation guardrail, not NaN/Inf values in the selected residual features.",False,False
canonical_bundle,delta__pv_pv83_p_kw__last,0,finite_clip_misclassified_as_nonfinite,"The original replay audit counted finite extreme-value clipping under a 100-standard-deviation guardrail, not NaN/Inf values in the selected residual features.",False,False
canonical_bundle,delta__pv_pv60_p_kw__min,0,finite_clip_misclassified_as_nonfinite,"The original replay audit counted finite extreme-value clipping under a 100-standard-deviation guardrail, not NaN/Inf values in the selected residual features.",False,False
canonical_bundle,delta__derived_pv_pv60_availability_residual_kw__max,0,finite_clip_misclassified_as_nonfinite,"The original replay audit counted finite extreme-value clipping under a 100-standard-deviation guardrail, not NaN/Inf values in the selected residual features.",False,False
canonical_bundle,delta__pv_pv60_curtailment_frac__max,0,finite_clip_misclassified_as_nonfinite,"The original replay audit counted finite extreme-value clipping under a 100-standard-deviation guardrail, not NaN/Inf values in the selected residual features.",False,False
canonical_bundle,delta__pv_pv60_terminal_i_a__min,0,finite_clip_misclassified_as_nonfinite,"The original replay audit counted finite extreme-value clipping under a 100-standard-deviation guardrail, not NaN/Inf values in the selected residual features.",False,False
canonical_bundle,delta__derived_pv_pv83_availability_residual_kw__mean,0,finite_clip_misclassified_as_nonfinite,"The original replay audit counted finite extreme-value clipping under a 100-standard-deviation guardrail, not NaN/Inf values in the selected residual features.",False,False
canonical_bundle,delta__pv_pv60_p_kw__last,0,finite_clip_misclassified_as_nonfinite,"The original replay audit counted finite extreme-value clipping under a 100-standard-deviation guardrail, not NaN/Inf values in the selected residual features.",False,False
