column_name,category,source_artifact,used_in_training,metadata_or_feature,residualized
delta__bess_bess48_available_charge_kw__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__bess_bess48_available_charge_kw__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__bess_bess48_available_charge_kw__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__bess_bess48_available_charge_kw__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__bess_bess48_available_discharge_kw__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__bess_bess48_available_discharge_kw__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__bess_bess48_available_discharge_kw__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__bess_bess48_available_discharge_kw__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__bess_bess48_energy_kwh__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__bess_bess48_energy_kwh__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__bess_bess48_energy_kwh__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__bess_bess48_energy_kwh__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__capacitor_c83_state__last,capacitor,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__capacitor_c83_state__mean,capacitor,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__capacitor_c83_state__min,capacitor,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__cyber_attack_count,cyber,outputs/clean/cyber_events.parquet + outputs/attacked/cyber_events.parquet,True,feature,True
delta__cyber_command_count,cyber,outputs/clean/cyber_events.parquet + outputs/attacked/cyber_events.parquet,True,feature,True
delta__cyber_event_count_total,cyber,outputs/clean/cyber_events.parquet + outputs/attacked/cyber_events.parquet,True,feature,True
delta__cyber_protocol_modbus_count,cyber,outputs/clean/cyber_events.parquet + outputs/attacked/cyber_events.parquet,True,feature,True
delta__derived_pv_pv60_availability_residual_kw__last,derived,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
delta__derived_pv_pv60_availability_residual_kw__max,derived,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,True,feature,True
