model_name,precision,recall,f1,roc_auc,average_precision,macro_precision,macro_recall,weighted_precision,weighted_recall,threshold,feature_count,seq_len,window_label,window_seconds,step_seconds,status,training_time_seconds,inference_time_seconds,inference_time_ms_per_prediction,parameter_count,mean_detection_latency_seconds,median_detection_latency_seconds,scenario_f1_mean,scenario_f1_std,model_dir,report_dir,ready_package_dir,error,source_file,comparison_role,feature_count_x,row_count,column_count,attack_window_count,benign_window_count,attack_rate,feature_count_y,training_supervision,notes
ttm_extension,0.6341463414634146,0.8387096774193549,0.7222222222222222,0.9939301972685888,0.6785195412911948,0.8151618557469978,0.9136643986489794,0.9878579023615062,0.9851742031134173,0.4190650576688821,64.0,12.0,60s,60.0,12.0,completed,708.8701364999997,1.1757018000016615,0.8715358043007128,8205.0,706.6,625.0,,,<repo>/outputs\phase1_ttm_extension,<repo>/,,,,extension,,,,,,,,benign-only_forecasting_anomaly,Randomly initialized TinyTimeMixer trained on benign residual windows only.
transformer,0.6923076923076923,1.0,0.8181818181818182,0.9974155320221888,0.906840310563302,0.8461538461538461,0.9939485627836612,0.9918432083380536,0.9882179675994108,0.0367312026588126,64.0,12.0,60s,60.0,12.0,completed,9.523059599996486,0.0297013999952469,0.0218714285679284,71169.0,641.0,601.0,0.3045843045843046,0.3883884842719703,<repo>/outputs\window_size_study\60s\models\transformer,<repo>/outputs\window_size_study\60s\reports\transformer,<repo>/outputs\window_size_study\60s\ready_packages\transformer,,<repo>/outputs\window_size_study\60s\reports\model_summary.csv,family_best,,,,,,,,,
gru,0.775,0.8611111111111112,0.8157894736842105,0.9954824340225248,0.7949759950169492,0.885603186646434,0.9271516221213648,0.990342286813823,0.9896907216494846,0.0270872857843897,64.0,12.0,60s,60.0,12.0,completed,4.226721299997735,0.041152099998726,0.0303034609710795,25025.0,641.0,601.0,0.3131313131313131,0.398957932487505,<repo>/outputs\window_size_study\60s\models\gru,<repo>/outputs\window_size_study\60s\reports\gru,<repo>/outputs\window_size_study\60s\ready_packages\gru,,<repo>/outputs\window_size_study\60s\reports\model_summary.csv,family_best,,,,,,,,,
lstm,0.75,0.8333333333333334,0.7894736842105263,0.9947470163052614,0.7856615715152153,0.8727238239757208,0.9128845184064548,0.988940935634614,0.9882179675994108,0.0953518349966092,128.0,12.0,60s,60.0,12.0,completed,5.044173299997055,0.0242530000032275,0.0178593519905946,49729.0,641.0,601.0,0.2997002997002997,0.3811421206039643,<repo>/outputs\window_size_study\60s\models\lstm,<repo>/outputs\window_size_study\60s\reports\lstm,<repo>/outputs\window_size_study\60s\ready_packages\lstm,,<repo>/outputs\window_size_study\60s\reports\model_summary.csv,family_best,,,,,,,,,
llm_baseline,0.7567567567567568,0.7777777777777778,0.7671232876712328,0.9888216506975964,0.8112009656581236,0.8753503692943512,0.8854849554546983,0.9876562497975518,0.987481590574374,0.0160865528115627,64.0,12.0,60s,60.0,12.0,completed,7.55015160000039,0.0289781000028597,0.0213388070713252,1601.0,737.0,805.0,0.1926961926961927,0.3537120557067734,<repo>/outputs\window_size_study\60s\models\llm_baseline,<repo>/outputs\window_size_study\60s\reports\llm_baseline,<repo>/outputs\window_size_study\60s\ready_packages\llm_baseline,,<repo>/outputs\window_size_study\60s\reports\model_summary.csv,family_best,,,,,,,,,
threshold_baseline,0.9669117647058824,0.5686486486486486,0.7161334240980258,0.6613674156623672,0.6741265049669198,0.959770734543372,0.7832051997284526,0.9541029848314746,0.9534961525593844,0.0541499647985949,128.0,,10s,10.0,2.0,completed,0.0,0.0138138000002072,0.0015405152225055,256.0,416.1428571428572,427.0,0.4661604708942802,0.4475175874551621,<repo>/outputs\window_size_study\10s\models\threshold_baseline,<repo>/outputs\window_size_study\10s\reports\threshold_baseline,<repo>/outputs\window_size_study\10s\ready_packages\threshold_baseline,,<repo>/outputs\window_size_study\10s\reports\model_summary.csv,family_best,,,,,,,,,
isolation_forest,0.2227204783258595,0.9430379746835444,0.3603385731559855,0.8592802037300578,0.5142847062985655,0.6060094662735124,0.7792112950340799,0.9090869838956964,0.6496688741721854,0.06786902821443,32.0,,60s,60.0,12.0,completed,0.4665468000021064,0.0360600999993039,0.0238808609266913,36300.0,384.0,319.0,0.799354100123671,0.2341168812624728,<repo>/outputs\window_size_study\60s\models\isolation_forest,<repo>/outputs\window_size_study\60s\reports\isolation_forest,<repo>/outputs\window_size_study\60s\ready_packages\isolation_forest,,<repo>/outputs\window_size_study\60s\reports\model_summary.csv,family_best,,,,,,,,,
autoencoder,0.0986842105263157,0.8333333333333334,0.1764705882352941,0.6683412135539795,0.4904806169417283,0.3350563909774436,0.4308510638297873,0.517910341892467,0.1194968553459119,0.0351662796242247,32.0,,300s,300.0,60.0,completed,0.805199199996423,0.0022142000088933,0.0069628931097276,3184.0,571.0,481.0,0.4989010989010989,0.2818366530321039,<repo>/outputs\window_size_study\300s\models\autoencoder,<repo>/outputs\window_size_study\300s\reports\autoencoder,<repo>/outputs\window_size_study\300s\ready_packages\autoencoder,,<repo>/outputs\window_size_study\300s\reports\model_summary.csv,family_best,,,,,,,,,
arima,,,,,,,,,,,,,,,,not_implemented,,,,,,,,,,,,No ARIMA implementation was found in the repository audit.,,not_implemented,,,,,,,,,"Documented blocker, no fabricated metrics."
transformer,0.6923076923076923,1.0,0.8181818181818182,0.9974155320221888,0.906840310563302,0.8461538461538461,0.9939485627836612,0.9918432083380536,0.9882179675994108,0.0367312026588126,,12.0,60s,60.0,12.0,completed,9.523059599996486,0.0297013999952469,0.0218714285679284,71169.0,641.0,601.0,0.3045843045843046,0.3883884842719703,<repo>/outputs\window_size_study\60s\models\transformer,<repo>/outputs\window_size_study\60s\reports\transformer,<repo>/outputs\window_size_study\60s\ready_packages\transformer,,,window_winner,64.0,7195.0,930.0,549.0,6646.0,0.0763029881862404,920.0,,
threshold_baseline,0.9669117647058824,0.5686486486486486,0.7161334240980258,0.6613674156623672,0.6741265049669198,0.959770734543372,0.7832051997284526,0.9541029848314746,0.9534961525593844,0.0541499647985949,,,10s,10.0,2.0,completed,0.0,0.0138138000002072,0.0015405152225055,256.0,416.1428571428572,427.0,0.4661604708942802,0.4475175874551621,<repo>/outputs\window_size_study\10s\models\threshold_baseline,<repo>/outputs\window_size_study\10s\reports\threshold_baseline,<repo>/outputs\window_size_study\10s\ready_packages\threshold_baseline,,,window_winner,128.0,43195.0,930.0,3099.0,40096.0,0.0717444148628313,920.0,,
lstm,0.3333333333333333,1.0,0.5,0.9834558823529412,0.5265151515151515,0.6666666666666666,0.9852941176470588,0.9903381642512076,0.9710144927536232,0.0270425189047922,,4.0,300s,300.0,60.0,completed,1.0072893000033218,0.0081168000033358,0.0294086956642601,25153.0,871.0,841.0,0.1208791208791208,0.295684044990631,<repo>/outputs\window_size_study\300s\models\lstm,<repo>/outputs\window_size_study\300s\reports\lstm,<repo>/outputs\window_size_study\300s\ready_packages\lstm,,,window_winner,32.0,1435.0,930.0,141.0,1294.0,0.0982578397212543,920.0,,
isolation_forest,0.1208164387327331,0.950784207679827,0.214390243902439,0.867130527962003,0.6173037986333703,0.5468584873830431,0.5771044326070368,0.8849278130500015,0.2805851806354347,0.0314528171664629,,,5s,5.0,1.0,completed,1.0408982000080869,0.1436263999930815,0.0080197889325524,39900.0,343.5,277.0,0.904509449567018,0.2636783748351998,<repo>/outputs\window_size_study\5s\models\isolation_forest,<repo>/outputs\window_size_study\5s\reports\isolation_forest,<repo>/outputs\window_size_study\5s\ready_packages\isolation_forest,,,window_winner,32.0,86395.0,930.0,6172.0,80223.0,0.0714393194050581,920.0,,
