dimension,name,all_scenarios,validated_scenarios,rejected_scenarios,repair_rows,generator_coverage_validated,source_bundle_coverage_validated
asset,bess48,14,14,1,1,6,10
asset,bess108,9,9,3,3,6,9
asset,pv60,9,9,0,0,6,10
asset,pv83,6,6,2,2,5,7
asset,pv35,4,4,1,1,4,6
asset,c83,3,3,0,0,3,5
asset,feeder,3,3,0,0,3,5
asset,bus114,2,2,0,0,2,3
asset,bus150,2,2,0,0,2,4
asset,bus83,2,2,0,0,2,3
asset,c90b,2,2,0,0,2,3
asset,creg4a,2,2,1,1,2,2
asset,creg4b,2,2,2,2,2,2
asset,sw3,2,2,0,0,2,4
asset,bus48,1,1,1,1,1,1
asset,creg3a,1,1,0,0,1,1
asset,creg3c,1,1,1,1,1,1
asset,sw4,1,1,1,1,1,1
signal,bess_bess48_target_kw,11,11,0,1,6,9
signal,pv_pv60_curtailment_frac,6,6,0,0,4,6
signal,bess_bess108_mode_cmd,4,4,0,2,4,5
signal,pv_pv83_curtailment_frac,4,4,2,2,4,4
signal,bess_bess108_target_kw,3,3,0,1,3,4
signal,capacitor_c83_state,3,3,0,0,3,5
signal,bess_bess108_status_cmd,2,2,0,0,2,3
signal,bess_bess48_soc,3,2,1,0,2,3
signal,bus_114_v_pu_phase_a,3,2,1,0,2,3
signal,bus_150_v_pu_phase_c,3,2,1,0,2,4
signal,bus_83_v_pu_phase_a,4,2,2,0,2,3
signal,capacitor_c90b_state,2,2,0,0,2,3
signal,feeder_p_kw_total,7,2,5,0,2,3
signal,pv_pv35_curtailment_frac,2,2,0,0,2,3
signal,pv_pv60_status_cmd,2,2,0,0,2,4
signal,regulator_creg4a_vreg,2,2,0,1,2,2
signal,regulator_creg4b_vreg,2,2,0,2,2,2
signal,switch_sw3_state,2,2,0,0,2,4
signal,bess_bess48_terminal_i_a,1,1,0,0,1,2
signal,bus_48_v_pu_phase_a,1,1,1,1,1,1
signal,feeder_q_kvar_total,1,1,0,0,1,2
signal,pv_pv35_q_kvar,1,1,0,0,1,2
signal,pv_pv35_terminal_v_pu,1,1,1,1,1,1
signal,pv_pv60_terminal_v_pu,1,1,0,0,1,1
signal,pv_pv83_q_kvar,2,1,1,0,1,2
signal,pv_pv83_status_cmd,1,1,0,0,1,2
signal,regulator_creg3a_vreg,1,1,0,0,1,1
signal,regulator_creg3c_vreg,1,1,0,1,1,1
signal,switch_sw4_state,1,1,1,1,1,1
signal,bess_bess108_mode,2,0,2,0,0,0
signal,bess_bess108_p_kw,3,0,3,0,0,0
signal,bess_bess108_q_kvar,1,0,1,0,0,0
signal,bess_bess108_soc,2,0,2,0,0,0
signal,bess_bess48_p_kw,1,0,1,0,0,0
signal,bus_108_v_pu_phase_a,2,0,2,0,0,0
signal,bus_108_v_pu_phase_b,1,0,1,0,0,0
signal,bus_108_v_pu_phase_c,1,0,1,0,0,0
signal,bus_150_v_pu_phase_a,2,0,2,0,0,0
signal,bus_150_v_pu_phase_b,1,0,1,0,0,0
signal,bus_35_v_pu_phase_a,1,0,1,0,0,0
signal,bus_48_v_pu_phase_b,1,0,1,0,0,0
signal,bus_48_v_pu_phase_c,1,0,1,0,0,0
signal,curtailment_frac,2,0,2,0,0,0
signal,derived_feeder_power_ma_60s_kw,1,0,1,0,0,0
signal,derived_feeder_ramp_kw_per_s,1,0,1,0,0,0
signal,derived_voltage_violation_count,3,0,3,0,0,0
signal,feeder_v_pu_phase_a,1,0,1,0,0,0
signal,mode_cmd,2,0,2,0,0,0
signal,pv_pv83_p_kw,2,0,2,0,0,0
signal,regulator_creg3c_tap_pos,1,0,1,0,0,0
signal,regulator_creg4a_tap_pos,1,0,1,0,0,0
signal,regulator_creg4b_tap_pos,2,0,2,0,0,0
signal,regulator_creg4c_tap_pos,1,0,1,0,0,0
signal,state,1,0,1,0,0,0
signal,target_kw,2,0,2,0,0,0
signal,terminal_v_pu,1,0,1,0,0,0
signal,vreg,4,0,4,0,0,0
